iter	RMSE
0	11170.7751
1	10386.14597
2	9666.207235
3	9016.137957
4	8471.192211
5	7933.592182
6	7534.794097
7	7106.345281
8	6751.654851
9	6441.576262
10	6252.191689
11	6000.286584
12	5777.396681
13	5609.748942
14	5455.600166
15	5341.454008
16	5216.105008
17	5104.573845
18	5028.591446
19	4951.538275
20	4888.472493
21	4831.881851
22	4776.348237
23	4727.178077
24	4683.134599
25	4653.022577
26	4626.128711
27	4596.2983
28	4574.69982
29	4555.120068
30	4536.36758
31	4519.40106
32	4507.221385
33	4494.098478
34	4481.763257
35	4471.712972
36	4461.722231
37	4456.782212
38	4449.022485
39	4442.163349
40	4431.57587
41	4422.230686
42	4414.533451
43	4410.043113
44	4405.502925
45	4400.136648
46	4394.129932
47	4390.404169
48	4386.258461
49	4381.063912
50	4376.865054
51	4372.748514
52	4366.223127
53	4359.15042
54	4352.990343
55	4347.964101
56	4342.80846
57	4338.228903
58	4334.382189
59	4331.398335
60	4327.7947
61	4322.815015
62	4320.142312
63	4310.945921
64	4309.399141
65	4300.648366
66	4297.396492
67	4294.337877
68	4291.392867
69	4285.506731
70	4279.305287
71	4276.882615
72	4269.25576
73	4263.526172
74	4256.535364
75	4251.677978
76	4243.179642
77	4237.005565
78	4233.739845
79	4232.691454
80	4226.023626
81	4221.261062
82	4216.835978
83	4211.666238
84	4201.313827
85	4199.623992
86	4191.981438
87	4189.886788
88	4184.912194
89	4182.750936
90	4174.884468
91	4172.33888
92	4171.33992
93	4164.972669
94	4161.24285
95	4160.011906
96	4154.426256
97	4145.549901
98	4138.298671
99	4136.570419
