iter	Passed	Remaining
0	0	59
1	1	60
2	1	55
3	2	58
4	2	55
5	3	52
6	4	53
7	4	51
8	4	49
9	5	48
10	5	46
11	6	45
12	6	44
13	7	43
14	7	42
15	7	41
16	8	40
17	8	40
18	9	39
19	9	39
20	10	38
21	10	37
22	11	37
23	11	36
24	11	35
25	12	35
26	12	34
27	13	34
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	16	31
34	16	30
35	17	30
36	17	29
37	18	29
38	18	28
39	18	28
40	19	27
41	19	27
42	20	27
43	20	26
44	21	26
45	21	25
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	27	21
56	27	20
57	28	20
58	28	19
59	29	19
60	29	18
61	30	18
62	30	18
63	31	17
64	31	17
65	32	16
66	32	16
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	36	12
74	36	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	43	5
88	43	5
89	43	4
90	44	4
91	44	3
92	45	3
93	45	2
94	46	2
95	46	1
96	47	1
97	47	0
98	48	0
99	48	0
